,date,close,date,close
388,2014-08-25,62.5344444444,2014-08-25,81.571
389,2014-08-26,62.6227777778,2014-08-26,81.198
390,2014-08-27,62.7380555556,2014-08-27,81.11
391,2014-08-28,62.7166666667,2014-08-28,80.863
392,2014-08-29,62.875,2014-08-29,80.974
393,2014-09-02,62.8077777778,2014-09-02,81.162
394,2014-09-03,62.6877777778,2014-09-03,81.323
395,2014-09-04,62.6494444444,2014-09-04,81.893
396,2014-09-05,62.9811111111,2014-09-05,81.976
397,2014-09-08,62.9561111111,2014-09-08,81.599
398,2014-09-09,62.5544444444,2014-09-09,81.254
399,2014-09-10,62.5022222222,2014-09-10,81.521
400,2014-09-11,62.81,2014-09-11,81.55
401,2014-09-12,62.5955555556,2014-09-12,81.534
402,2014-09-15,62.0444444444,2014-09-15,81.491
403,2014-09-16,62.8038888889,2014-09-16,81.929
404,2014-09-17,62.9488888889,2014-09-17,82.127
405,2014-09-18,63.5672222222,2014-09-18,82.687
406,2014-09-19,63.2377777778,2014-09-19,82.602
407,2014-09-22,62.55,2014-09-22,81.986
408,2014-09-23,62.3,2014-09-23,81.584
409,2014-09-24,63.045,2014-09-24,82.447
410,2014-09-25,61.9922222222,2014-09-25,81.249
411,2014-09-26,62.6166666667,2014-09-26,81.796
412,2014-09-29,62.4144444444,2014-09-29,81.71
413,2014-09-30,62.6788888889,2014-09-30,81.475
414,2014-10-01,61.4833333333,2014-10-01,80.843
415,2014-10-02,61.6533333333,2014-10-02,81.375
416,2014-10-03,62.3833333333,2014-10-03,82.121
417,2014-10-06,62.265,2014-10-06,81.905
418,2014-10-07,61.385,2014-10-07,80.656
419,2014-10-08,62.4188888889,2014-10-08,81.668
420,2014-10-09,61.12,2014-10-09,80.015
421,2014-10-10,59.5366666667,2014-10-10,79.464
422,2014-10-13,58.7144444444,2014-10-13,77.889
423,2014-10-14,59.0477777778,2014-10-14,78.462
424,2014-10-15,58.8488888889,2014-10-15,78.258
425,2014-10-16,59.0044444444,2014-10-16,77.341
426,2014-10-17,59.45,2014-10-17,78.076
427,2014-10-20,60.28,2014-10-20,78.517
428,2014-10-21,61.5844444444,2014-10-21,79.955
429,2014-10-22,60.7627777778,2014-10-22,79.46
430,2014-10-23,61.9383333333,2014-10-23,80.266
431,2014-10-24,62.6855555556,2014-10-24,80.861
432,2014-10-27,62.7255555556,2014-10-27,80.955
433,2014-10-28,62.7555555556,2014-10-28,81.784
434,2014-10-29,62.5588888889,2014-10-29,81.782
435,2014-10-30,62.9233333333,2014-10-30,83.215
436,2014-10-31,63.5866666667,2014-10-31,83.212
437,2014-11-03,63.9811111111,2014-11-03,83.178
438,2014-11-04,63.68,2014-11-04,83.807
439,2014-11-05,64.0511111111,2014-11-05,84.364
440,2014-11-06,64.4,2014-11-06,84.827
441,2014-11-07,64.375,2014-11-07,85.306
442,2014-11-10,64.4188888889,2014-11-10,85.125
443,2014-11-11,64.25,2014-11-11,84.904
444,2014-11-12,64.3933333333,2014-11-12,85.079
445,2014-11-13,64.0988888889,2014-11-13,84.821
446,2014-11-14,64.2955555556,2014-11-14,84.852
447,2014-11-17,64.5955555556,2014-11-17,84.78
448,2014-11-18,65.1933333333,2014-11-18,84.963
449,2014-11-19,64.8316666667,2014-11-19,85.699
450,2014-11-20,65.3,2014-11-20,85.542
451,2014-11-21,65.6044444444,2014-11-21,86.331
452,2014-11-24,66.2077777778,2014-11-24,86.703
453,2014-11-25,66.4944444444,2014-11-25,86.642
